"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","836","test","ui","2026-01-10","passed","2026-01-10","","ui/01_login.locked_out_user.test.js","",""
"","590","login as error_user","ui","2026-01-10","passed","2026-01-10","Login with different users","ui/02_login.test.js","",""
"","616","login as problem_user","ui","2026-01-10","passed","2026-01-10","Login with different users","ui/02_login.test.js","",""
"","662","login as standard_user","ui","2026-01-10","passed","2026-01-10","Login with different users","ui/02_login.test.js","",""
"","626","login as visual_user","ui","2026-01-10","passed","2026-01-10","Login with different users","ui/02_login.test.js","",""
"","985","problem_user","ui","2026-01-10","passed","2026-01-10","","ui/00_problem_user.test.js","",""
"","5880","login as performance_glitch_user","ui","2026-01-10","passed","2026-01-10","Login with different users","ui/02_login.test.js","",""
